endTime,artistName,trackName,msPlayed
2024-05-29 11:01,Sachet-Parampara,"Ram Siya Ram (From ""Adipurush"")",626
2024-05-29 11:01,Vismay Patel,Pal Behta Jaaye 2.0,510
2024-05-29 11:01,Keethan,Unakkaga,650
2024-05-29 11:01,Arun Muraleedharan,"Aval - From ""Op 160/18 Kakshi: Amminippilla""",1834
2024-05-29 11:01,Vismay Patel,Dariya,603
2024-05-29 11:01,Pritam,Radha,580
2024-05-29 11:01,Namita Choudhary,Chaap Tilak,2298
2024-05-29 11:01,Yasser Desai,Mann Jogiya,580
2024-05-29 11:01,Ananya Birla,Teri Meri Kahani,580
2024-05-29 11:01,Himonshu Parikh,Katputli Ke Dhaage,580
2024-05-29 11:02,Anand Bhaskar Collective,Jaadoogari,859
2024-05-29 11:08,Naseebo Lal,Tu Jhoom,367571
2024-05-29 11:13,Aditya Seal,Kivein Mukhade,136742
2024-05-29 11:18,Akashdeep Sengupta,"Dil Se Dil Tak (From ""Bawaal"")",293091
2024-05-29 11:19,Akashdeep Sengupta,"Dil Se Dil Tak (From ""Bawaal"")",44002
2024-05-29 11:22,Vishal Mishra,"Zindagi Tere Naam (From ""Yodha"")",208133
2024-05-29 11:26,Amit Trivedi,Hu Ba Hu,998
2024-05-29 11:26,Naseebo Lal,Tu Jhoom,766
2024-05-29 11:26,Sachin-Jigar,Saiba,1137
2024-05-29 11:26,Sachin-Jigar,Bhuli Gaya,650
2024-05-29 11:26,Sachin-Jigar,Aav Ashaadi,626
2024-05-29 11:26,Kaavish,Nindiya Re - Studio Version,216663
2024-05-29 11:38,Arko Pravo Mukherjee,Dil Nawaziyaan,1044
2024-05-29 14:59,Naseebo Lal,Tu Jhoom,96293
2024-05-29 15:06,Sachin Sanghvi,Rangreza,603
2024-05-29 15:06,Harish Sivaramakrishnan,Malhar Jam,487
2024-05-29 15:06,Bickram Ghosh,Rang,43
2024-05-29 15:06,Neeti Mohan,Kanha Re,534
2024-05-29 15:06,Amit Trivedi,Madhubala - Reprise,603
2024-05-29 15:06,Shankar-Ehsaan-Loy,Garaj Garaj Jugalbandi,330921
2024-05-29 15:40,Vishal Dadlani,Masta,580
2024-05-29 15:40,Sachin Sanghvi,Rangreza,379948
2024-05-29 15:40,Aditya Gadhvi,Pankhi Re,696
2024-05-29 15:40,Sounds of Isha,Bhairavi Vandana,557
2024-05-29 15:40,Sounds of Isha,Bhairavi Vandana,626
2024-05-29 15:40,Sounds of Isha,Bhairavi Vandana,510
2024-05-29 15:40,Shreya Ghoshal,Yeh Aaina,789
2024-05-29 15:40,Shreya Ghoshal,Yeh Aaina,278
2024-05-29 15:40,Sachin-Jigar,Dhun Laagi,510
2024-05-29 15:40,Arijit Singh,Laal Ishq,464
2024-05-29 15:40,Amit Trivedi,Lagan Laagi Re,487
2024-05-29 15:40,Amit Trivedi,Lagan Laagi Re,882
2024-05-29 15:40,Amit Trivedi,Lagan Laagi Re,7941
2024-05-29 15:40,Amit Trivedi,Madhubala - Reprise,441
2024-05-29 15:40,Amit Trivedi,English Vinglis - Male Vocals,626
2024-05-29 15:40,Shashi Suman,Albela Sajan,719
2024-05-29 15:40,Sachin-Jigar,Vhalam Aavo Ne,789
